character,tags,hooks,in top 50,share of top teams,share of slots,best team without,cost of banning,depends on
Ash,Blight,3,34,0.68,0.136,3.794,0.114,a detonator
Mote,Drive / Assay,2,22,0.44,0.088,3.614,0.156,
Maul,Ordnance / Assay,1,17,0.34,0.068,4.282,0,someone to break
Rime,Assay,2,16,0.32,0.064,3.732,0.1284,
Wex,Hull / Crew,1,15,0.3,0.06,4.282,0,
Ferrule,Hull / Ordnance,2,14,0.28,0.056,4.282,0,
Tarn,Hull / Ordnance,3,12,0.24,0.048,4.282,0,a barrier source
Vitre,Assay / Drive,3,12,0.24,0.048,4.096,0.0434,
Mire,Crew / Hull,3,12,0.24,0.048,4.282,0,someone to pull fire
Ballast,Hull,2,10,0.2,0.04,4.282,0,
Cinder,Blight / Ordnance,1,10,0.2,0.04,4.282,0,a detonator
Sump,Blight / Crew,3,9,0.18,0.036,4.282,0,a detonator
Vane,Drive / Crew,1,9,0.18,0.036,4.282,0,
Corr,Ordnance,0,9,0.18,0.036,4.282,0,
Fen,Crew,1,9,0.18,0.036,4.282,0,
Ledger,Assay / Drive,1,8,0.16,0.032,4.282,0,someone to mark
Pyre,Blight,1,7,0.14,0.028,4.096,0.0434,someone to seed
Nettle,Drive,1,7,0.14,0.028,4.282,0,
Quill,Assay / Blight,1,7,0.14,0.028,4.282,0,
Halo,Crew / Drive,1,7,0.14,0.028,4.282,0,
Bosk,Ordnance / Hull,0,4,0.08,0.016,4.282,0,
