constant,value,is default,samples,mean bp,range of this constant
VULN,0,,12,3.703,0.447
VULN,0.2,,12,4.107,0.447
VULN,0.35,yes,12,4.451,0.447
VULN,0.5,,12,4.754,0.447
VULN,0.75,,12,5.358,0.447
SHPER,8,,12,4.499,0.064
SHPER,11,,12,4.468,0.064
SHPER,14,yes,12,4.451,0.064
SHPER,18,,12,4.307,0.064
SHPER,24,,12,4.228,0.064
SOAK,0.25,,12,4.364,0.043
SOAK,0.4,,12,4.407,0.043
SOAK,0.55,yes,12,4.451,0.043
SOAK,0.7,,12,4.501,0.043
SOAK,0.85,,12,4.553,0.043
UN,0.05,,12,4.368,0.019
UN,0.1,,12,4.414,0.019
UN,0.2,yes,12,4.451,0.019
UN,0.35,,12,4.428,0.019
UN,0.5,,12,4.416,0.019
DELAY,0,,12,4.451,0.0
DELAY,0.2,,12,4.451,0.0
DELAY,0.35,yes,12,4.451,0.0
DELAY,0.5,,12,4.451,0.0
DELAY,0.75,,12,4.451,0.0
