constant,value,is default,team,world,bp
ARMOR_PER_LAYER,8,,"Pyre, Ash, Corr, Rime, Maul",open,3
ARMOR_PER_LAYER,8,,"Pyre, Ash, Corr, Rime, Maul",murk,2.45
ARMOR_PER_LAYER,8,,"Pyre, Ash, Corr, Rime, Maul",hive,4.57
ARMOR_PER_LAYER,8,,"Tarn, Vitre, Nettle, Maul, Rime",open,2.75
ARMOR_PER_LAYER,8,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.92
ARMOR_PER_LAYER,8,,"Tarn, Vitre, Nettle, Maul, Rime",hive,5.33
ARMOR_PER_LAYER,8,,"Cinder, Mote, Bosk, Pyre, Ash",open,2.24
ARMOR_PER_LAYER,8,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.71
ARMOR_PER_LAYER,8,,"Cinder, Mote, Bosk, Pyre, Ash",hive,3.12
ARMOR_PER_LAYER,8,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.16
ARMOR_PER_LAYER,8,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
ARMOR_PER_LAYER,8,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,1.09
ARMOR_PER_LAYER,11,,"Pyre, Ash, Corr, Rime, Maul",open,2.38
ARMOR_PER_LAYER,11,,"Pyre, Ash, Corr, Rime, Maul",murk,1.9
ARMOR_PER_LAYER,11,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
ARMOR_PER_LAYER,11,,"Tarn, Vitre, Nettle, Maul, Rime",open,2.15
ARMOR_PER_LAYER,11,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.58
ARMOR_PER_LAYER,11,,"Tarn, Vitre, Nettle, Maul, Rime",hive,4
ARMOR_PER_LAYER,11,,"Cinder, Mote, Bosk, Pyre, Ash",open,2.04
ARMOR_PER_LAYER,11,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
ARMOR_PER_LAYER,11,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.7
ARMOR_PER_LAYER,11,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
ARMOR_PER_LAYER,11,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
ARMOR_PER_LAYER,11,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.91
ARMOR_PER_LAYER,14,yes,"Pyre, Ash, Corr, Rime, Maul",open,2.2
ARMOR_PER_LAYER,14,yes,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
ARMOR_PER_LAYER,14,yes,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
ARMOR_PER_LAYER,14,yes,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
