team,open,murk,hive,fortress,bloom,avg,best,worst,swing,hooks,roles at 2+,deep role,elements,duplicate elements,harmonies
"Rime, Ferrule, Mote, Ash, Wex",4.41,3.35,5.91,5.01,4.32,4.6,5.91,3.35,2.56,10,Breakerx2 Tankx2,none,order growth energy decay order,1,21.2
"Pyre, Ash, Mote, Rime, Vitre",3.35,2.27,6.07,3.26,5.54,4.098,6.07,2.27,3.8,11,DoTx2 Speedx2 Breakerx3,none,chaos decay energy order void,0,0
"Ash, Fen, Sump, Rime, Ledger",3.51,2.61,5.91,4.02,4.04,4.018,5.91,2.61,3.3,10,DoTx2 Healerx2 Breakerx2,none,decay order growth order order,2,43.1
"Sump, Ash, Rime, Mire, Maul",3.28,2.5,5.61,3.74,4.11,3.848,5.61,2.5,3.11,12,DoTx2 Healerx2 Breakerx2,none,growth decay order growth decay,2,16.5
"Maul, Mire, Ash, Ferrule, Mote",3.35,2.29,5.01,4.11,4.18,3.788,5.01,2.29,2.72,11,DPSx2 Breakerx2 Tankx2,none,decay growth decay growth energy,2,13.3
"Mote, Ash, Vane, Mire, Wex",3.35,2.38,4.92,3.83,3.07,3.51,4.92,2.38,2.54,10,Speedx2 Healerx3 Tankx2,none,energy decay energy growth order,1,15.1
"Mote, Corr, Rime, Fen, Maul",2.73,1.9,5.22,3.28,4.27,3.48,5.22,1.9,3.32,6,Breakerx3 DPSx2,none,energy void order order decay,1,13.4
"Maul, Mote, Ash, Vitre, Nettle",2.75,1.9,5.47,3.14,3.42,3.336,5.47,1.9,3.57,10,Breakerx3 Speedx3,none,decay energy decay void energy,2,24.2
"Vane, Rime, Mire, Ballast, Ash",2.64,2.08,5.24,2.98,2.7,3.128,5.24,2.08,3.16,11,Healerx2 Tankx2,none,energy order growth growth decay,1,9.2
"Corr, Mire, Ash, Mote, Maul",2.61,2.06,4.25,3.35,3.35,3.124,4.25,2.06,2.19,9,DPSx2 Breakerx2,none,void growth decay energy decay,1,8.7
"Vitre, Rime, Corr, Tarn, Wex",2.64,1.78,4.43,2.94,3.42,3.042,4.43,1.78,2.65,9,Breakerx2 DPSx2 Tankx2,none,void order void chaos order,2,44.6
"Vane, Rime, Sump, Maul, Mote",2.45,1.67,4.36,2.8,3.76,3.008,4.36,1.67,2.69,9,Speedx2 Healerx2 Breakerx3,none,energy order growth decay energy,1,15.3
"Mote, Wex, Vitre, Maul, Pyre",2.38,1.74,4.13,2.98,3.65,2.976,4.13,1.74,2.39,8,Speedx2 Breakerx3,none,energy order void decay chaos,0,0
"Quill, Rime, Cinder, Mote, Vitre",2.57,1.74,4.02,2.77,3.65,2.95,4.02,1.74,2.28,9,Breakerx4 DoTx2 Speedx2,Breaker,void order chaos energy void,1,29.7
"Wex, Vitre, Halo, Rime, Maul",2.38,1.62,4.87,2.41,3.21,2.898,4.87,1.62,3.25,8,Healerx2 Breakerx3 Speedx2,none,order void energy order decay,1,17.8
"Rime, Ferrule, Corr, Vitre, Mire",2.38,1.55,4.34,2.73,3.3,2.86,4.34,1.55,2.79,10,Breakerx2 Tankx2 DPSx2,none,order growth void void growth,2,34.9
"Vane, Ferrule, Vitre, Ash, Ballast",2.41,1.83,4.92,2.64,2.38,2.836,4.92,1.83,3.09,11,Speedx2 Tankx2,none,energy growth void decay growth,1,5.9
"Mote, Bosk, Vitre, Nettle, Ferrule",2.31,1.6,4.06,2.82,3.35,2.828,4.06,1.6,2.46,8,Speedx3 Breakerx2 DPSx2 Tankx2,none,energy decay void energy growth,1,34
"Maul, Halo, Cinder, Ash, Mote",2.45,1.76,3.72,3.23,2.98,2.828,3.72,1.76,1.96,8,DPSx2 Breakerx2 Speedx2 DoTx2,none,decay energy chaos decay energy,2,13.8
"Cinder, Tarn, Mote, Maul, Ash",2.57,1.92,3.51,3.26,2.82,2.816,3.51,1.92,1.59,10,DoTx2 DPSx3 Breakerx2,none,chaos chaos energy decay decay,2,7.7
"Wex, Ash, Ferrule, Halo, Mire",2.82,1.97,3.74,3.49,2.04,2.812,3.74,1.97,1.77,10,Tankx3 Healerx3,none,order decay growth energy growth,1,9.1
"Corr, Mote, Rime, Wex, Ledger",2.59,1.62,3.76,2.73,3.23,2.786,3.76,1.62,2.14,6,Speedx2 Breakerx3,none,void energy order order order,2,66.3
"Cinder, Rime, Tarn, Quill, Ash",2.41,1.74,3.97,2.94,2.75,2.762,3.97,1.74,2.23,10,DoTx3 DPSx2 Breakerx2,none,chaos order chaos void decay,1,1.9
"Wex, Ash, Sump, Tarn, Corr",2.57,1.99,3.07,3.42,2.75,2.76,3.42,1.99,1.43,10,Tankx2 Healerx2 DoTx2 DPSx2,none,order decay growth chaos void,0,0
"Ballast, Ash, Ferrule, Maul, Wex",2.47,1.9,2.91,3.58,2.91,2.754,3.58,1.9,1.68,9,Tankx3 DPSx2,none,growth decay growth decay order,2,15.8
"Vitre, Maul, Ballast, Ash, Halo",2.08,1.62,5.03,2.52,2.43,2.736,5.03,1.62,3.41,10,Breakerx2 Speedx2,none,void decay growth decay energy,1,10.5
"Vane, Halo, Vitre, Ash, Sump",2.15,1.69,4.89,2.52,2.38,2.726,4.89,1.69,3.2,11,Speedx3 Healerx3 DoTx2,none,energy energy void decay growth,1,0
"Ledger, Fen, Rime, Vitre, Quill",2.15,1.58,4,2.66,3.12,2.702,4,1.58,2.42,8,Breakerx4 Speedx2,Breaker,order order order void void,3,103.3
"Vitre, Quill, Maul, Tarn, Mote",2.15,1.58,4.09,2.61,3.07,2.7,4.09,1.58,2.51,10,Breakerx4 Speedx2 DPSx2,Breaker,void void decay chaos energy,1,16
"Rime, Tarn, Maul, Wex, Pyre",2.41,1.74,2.84,3.21,3.19,2.678,3.21,1.74,1.47,8,Breakerx2 Tankx2 DPSx2,none,order chaos decay order chaos,2,18.7
"Mote, Ledger, Cinder, Ash, Halo",2.38,1.74,3.53,2.91,2.77,2.666,3.53,1.74,1.79,8,Speedx3 Breakerx2 DoTx2,none,energy order chaos decay energy,1,9.3
"Ferrule, Wex, Mote, Maul, Ledger",2.57,1.85,2.41,3.47,2.98,2.656,3.47,1.85,1.62,7,Tankx2 DPSx2 Speedx2 Breakerx3,none,growth order energy decay order,1,10.4
"Ash, Ferrule, Bosk, Pyre, Vitre",2.15,1.62,4.18,2.47,2.75,2.634,4.18,1.62,2.56,9,DoTx2 Tankx2 DPSx2,none,decay growth decay chaos void,1,12.4
